feature,importance
view,0.8861225003385211
interact_rate,0.04359106091342169
like_rate,0.023711564861884145
danmaku,0.017672386188847193
favorite,0.015676713975825103
like,0.005752884936909843
reply,0.0036757022517415663
coin_rate,0.002450163351251845
share,0.001347023181597493
coin,0.0
