classifier,Acc,Auc
LogisticRegression,0.9728715236307798,0.996232490396647
DecisionTree,0.9933458454188705,0.9976271722669612
Random Forest,0.99624637433885,0.99992202354201
GBT,0.9970994710800205,0.9998394308306624
