feature,importance
view,0.6008943833978742
favorite,0.10825309139486268
like_rate,0.08716059241650634
like,0.06704294367529803
interact_rate,0.056166514249234856
share,0.04687030467151824
coin,0.02752059022067387
danmaku,0.0024218033398628403
reply,0.002182679981735637
coin_rate,0.001487096652433389
