title,like_rate,coin_rate,total_interact_rate
【苏新皓｜4K直拍】Worth it 三机位直拍｜浪漫主义·演唱会 DAY1,0.4357,0.6062,1.4033
韩老师-计算机网络原理-156讲(待续),0.0154,0.0356,1.2052
微信小程序：带你快速做出自己的小程序,0.0065,0.0444,1.1295
【星穹铁道生日会】王之一桶,0.3092,0.5679,1.1099
乐学偶得零基础Python玩Fintech金融量化交易入门篇,0.0086,0.0277,1.0847
植物生理学（英文）·第1次开课·深圳大学,0.0113,0.025,1.0201
“唱起这首歌 今天就留给快乐”太阳是什么颜色【乐正绫11周年生贺曲MV】,0.3426,0.2669,0.9447
【法律公开课】 以案说法 中南财经政法,0.0097,0.0254,0.9216
Maya双月动画,0.0093,0.0497,0.9039
拍到萌萌流萤！ #cos #摄影 #流萤 #崩坏星穹铁道,0.4073,0.0068,0.8289
