week_name,count,avg_view,avg_interact
2021第124期 07.30 - 08.05,2,6373160.0,726643.0
2021第125期 08.06 - 08.12,3,3513311.0,368079.0
2021第126期 08.13 - 08.19,2,15199707.0,2974132.0
2021第127期 08.20 - 08.26,3,1747221.0,298337.0
2021第128期 08.27 - 09.02,2,2419050.0,305429.0
2021第129期 09.03 - 09.09,1,5779657.0,832999.0
2021第130期 09.10 - 09.16,4,5473994.0,612268.0
2021第131期 09.17 - 09.23,2,4777785.0,350452.0
2021第132期 09.24 - 09.30,5,3204900.0,433197.0
2021第133期 10.01 - 10.07,1,10250452.0,1053130.0
2021第134期 10.08 - 10.14,2,4702821.0,762205.0
2021第135期 10.15 - 10.21,1,18307508.0,2423104.0
2021第136期 10.22 - 10.28,1,6548917.0,645312.0
2021第137期 10.29 - 11.04,4,9164964.0,1153801.0
2021第138期 11.05 - 11.11,3,4890471.0,562040.0
2021第139期 11.12 - 11.18,2,15223687.0,1830468.0
2021第140期 11.19 - 11.25,4,8235572.0,1035341.0
2021第141期 11.26 - 12.02,1,5676376.0,633538.0
2021第142期 12.03 - 12.09,2,4578827.0,393330.0
2021第143期 12.10 - 12.16,4,6177895.0,725710.0
2021第144期 12.17 - 12.23,4,4150387.0,440439.0
2021第145期 12.24 - 12.30,3,4263348.0,507108.0
2021第146期 12.31 - 01.06,4,5504989.0,890808.0
2021第94期 01.01 - 01.07,1,2557792.0,218600.0
2021第96期 01.15 - 01.21,2,4625619.0,392509.0
2021第97期 01.22 - 01.28,3,5834523.0,848177.0
2021第99期 02.05 - 02.11,1,8907295.0,1645367.0
2022第147期 01.07 - 01.13,2,5591235.0,572285.0
2022第148期 01.14 - 01.20,1,9725585.0,1210359.0
2022第149期 01.21 - 01.27,2,5643390.0,1028162.0
2022第150期 01.28 - 02.03,3,7884824.0,1111004.0
2022第151期 02.04 - 02.10,2,6216482.0,760686.0
2022第152期 02.11 - 02.17,1,4569193.0,501766.0
2022第153期 02.18 - 02.24,5,5024789.0,674421.0
2022第154期 02.25 - 03.03,5,4920583.0,787660.0
2022第155期 03.04 - 03.10,5,6289626.0,529532.0
2022第156期 03.11 - 03.17,2,7718669.0,628793.0
2022第157期 03.18 - 03.24,7,9769708.0,1275938.0
2022第158期 03.25 - 03.31,1,6457239.0,614611.0
2022第159期 04.01 - 04.07,5,7947806.0,949275.0
2022第160期 04.08 - 04.14,1,4764843.0,706375.0
2022第161期 04.15 - 04.21,3,4347646.0,539384.0
2022第162期 04.22 - 04.28,5,2843944.0,356313.0
2022第163期 04.29 - 05.05,3,4545665.0,845745.0
2022第164期 05.06 - 05.12,4,5751131.0,628937.0
2022第165期 05.13 - 05.19,1,2254045.0,502316.0
2022第166期 05.20 - 05.26,2,5622170.0,1254567.0
2022第167期 05.27 - 06.02,1,9436003.0,978805.0
2022第168期 06.03 - 06.09,2,2782472.0,251075.0
2022第169期 06.10 - 06.16,5,7398516.0,1041308.0
2022第170期 06.17 - 06.23,2,5766968.0,1443178.0
2022第171期 06.24 - 06.30,3,5769692.0,568400.0
2022第172期 07.01 - 07.07,5,4408558.0,599237.0
2022第173期 07.08 - 07.14,4,4396228.0,692648.0
2022第174期 07.15 - 07.21,2,2575665.0,415702.0
2022第175期 07.22 - 07.28,5,10070047.0,1515809.0
2022第176期 07.29 - 08.04,4,4027566.0,644353.0
2022第177期 08.05 - 08.11,7,6064391.0,693805.0
2022第178期 08.12 - 08.18,3,5712783.0,533782.0
2022第179期 08.19 - 08.25,4,11209975.0,914663.0
2022第180期 08.26 - 09.01,2,3881625.0,690566.0
2022第181期 09.02 - 09.08,3,3742022.0,515566.0
2022第182期 09.09 - 09.15,2,4377566.0,486816.0
2022第183期 09.16 - 09.22,3,4138600.0,563911.0
2022第184期 09.23 - 09.29,3,6793448.0,339816.0
2022第185期 09.30 - 10.06,3,4353797.0,704580.0
2022第186期 10.07 - 10.13,2,5978524.0,617519.0
2022第187期 10.14 - 10.20,4,8852323.0,712686.0
2022第188期 10.21 - 10.27,6,5736290.0,714058.0
2022第189期 10.28 - 11.03,3,7625589.0,811290.0
2022第190期 11.04 - 11.10,3,3909374.0,575017.0
2022第191期 11.11 - 11.17,7,3185926.0,373903.0
2022第192期 11.18 - 11.24,5,5621246.0,572408.0
2022第193期 11.25 - 12.01,6,5090854.0,481710.0
2022第194期 12.02 - 12.08,2,4426167.0,454883.0
2022第195期 12.09 - 12.15,5,4133046.0,510546.0
2022第196期 12.16 - 12.22,7,6076567.0,740074.0
2022第197期 12.23 - 12.29,6,4203791.0,518518.0
2022第198期 12.30 - 01.05,3,18412515.0,2169680.0
2023第199期 01.06 - 01.12,7,4150984.0,488163.0
2023第200期 01.13 - 01.19,8,4071260.0,434116.0
2023第201期 01.20 - 01.26,5,5835831.0,914671.0
2023第202期 01.27 - 02.02,12,5315871.0,706790.0
2023第203期 02.03 - 02.09,9,3632014.0,420494.0
2023第204期 02.10 - 02.16,7,4709425.0,492385.0
2023第205期 02.17 - 02.23,13,5132818.0,617460.0
2023第206期 02.24 - 03.02,2,2046749.0,208638.0
2023第207期 03.03 - 03.09,4,6041569.0,674277.0
2023第208期 03.10 - 03.16,5,4911799.0,849220.0
2023第209期 03.17 - 03.23,8,2468041.0,407649.0
2023第210期 03.24 - 03.30,4,4530849.0,585335.0
2023第211期 03.31 - 04.06,5,4843845.0,680973.0
2023第212期 04.07 - 04.13,3,3897416.0,372400.0
2023第213期 04.14 - 04.20,4,3544068.0,545133.0
2023第214期 04.21 - 04.27,2,3351121.0,249065.0
2023第215期 04.28 - 05.04,8,3682941.0,428541.0
2023第216期 05.05 - 05.11,8,5507269.0,749826.0
2023第217期 05.12 - 05.18,8,4065043.0,715157.0
