up,total_value
小潮院长,55701375
老番茄,53729071
老师好我叫何同学,37886580
绵羊料理,29642813
盗月社食遇记,28450178
原神,24805953
影视飓风,21816728
逗比的雀巢,20595469
小约翰可汗,20275121
敬汉卿,19854094
