tname,coin_like_ratio,count
演讲• 公开课,0.7459,94
数码,0.6596,295
MAD·AMV,0.645,771
购车攻略,0.6134,709
极客DIY,0.6057,115
电子竞技,0.5824,964
MV,0.5679,807
配音,0.5638,66
原创音乐,0.5414,918
模玩·周边,0.5338,51
