up,total_value
小潮院长,114754551
老番茄,99269873
逗比的雀巢,52804985
绵羊料理,52305961
老师好我叫何同学,49339417
原神,48305214
凉风Kaze,45414267
盗月社食遇记,42089689
小约翰可汗,40864349
崩坏星穹铁道,36253554
