up,total_value
,73954794064
小潮院长,2925841823
老番茄,1465581457
小约翰可汗,976505330
逗比的雀巢,886654467
哔哩哔哩番剧,839305837
原神,808073871
绵羊料理,803470435
崩坏星穹铁道,662573118
盗月社食遇记,594218569
